postac_a,postac_b,sila
FOX,KYLIE,28
FOX,MRS. FOX,25
ASH,FOX,24
BADGER,FOX,14
BEAN,FOX,12
ASH,MRS. FOX,11
ASH,KYLIE,10
ASH,BADGER,9
ASH,KRISTOFFERSON,8
KYLIE,MRS. FOX,8
FOX,KRISTOFFERSON,7
FOX,RAT,7
KYLIE,RAT,6
BADGER,BEAVER,5
BEAN,KYLIE,5
BEAVER,FOX,4
KRISTOFFERSON,MRS. FOX,4
BEAN,BOGGIS,4
BEAN,BUNCE,4
BADGER,RAT,4
ASH,RAT,4
FOX,WEASEL,3
BOGGIS,FOX,3
BADGER,BEAN,3
BOGGIS,BUNCE,3
BADGER,KYLIE,3
BADGER,KRISTOFFERSON,3
KYLIE,WEASEL,2
BEAN,RAT,2
BEAN,MRS. FOX,2
ASH,BEAN,2
BUNCE,FOX,2
BEAN,REPORTER,2
KYLIE,PETEY,2
FOX,MOLE,2
ASH,CHIEF,2
BADGER,CHIEF,2
FOX,LINDA,2
KYLIE,MOLE,2
BEAN,KRISTOFFERSON,2
BADGER,WEASEL,1
BEAVER,WEASEL,1
BADGER,BOGGIS,1
BADGER,BUNCE,1
BADGER,SQUIRREL,1
FOX,SQUIRREL,1
HOUSEKEEPER,KYLIE,1
HOUSEKEEPER,MASCULINE VOICE,1
KYLIE,MASCULINE VOICE,1
BEAN,MRS. BEAN,1
MRS. BEAN,RAT,1
BOGGIS,MRS. FOX,1
BUNCE,MRS. FOX,1
BEAN,EARL MALLOY,1
EARL MALLOY,REPORTER,1
BOGGIS,REPORTER,1
BUNCE,REPORTER,1
FOX,REPORTER,1
FRECKLED BOY,KYLIE,1
FRECKLED BOY,PETEY,1
BEAN,PETEY,1
ASH,PETEY,1
BADGER,PETEY,1
FOX,PETEY,1
BADGER,MOLE,1
ASH,BEAVER,1
ASH,BEAVER'S SON,1
BADGER,BEAVER'S SON,1
BEAVER,BEAVER'S SON,1
BEAVER,KRISTOFFERSON,1
BEAVER'S SON,KRISTOFFERSON,1
BEAVER,KYLIE,1
BEAVER,RAT,1
ASH,WEASEL,1
KRISTOFFERSON,WEASEL,1
CHIEF,FOX,1
CHIEF,KRISTOFFERSON,1
BEAN,BEAVER,1
KYLIE,LINDA,1
LINDA,MOLE,1
LINDA,RAT,1
MOLE,RAT,1
BADGER,LINDA,1
BADGER,RABBIT,1
BEAVER,LINDA,1
BEAVER,RABBIT,1
FOX,RABBIT,1
LINDA,RABBIT,1
FIELD MOUSE,FOX,1
FIELD MOUSE,KYLIE,1
FIELD MOUSE,WEASEL,1
BUNCE,KRISTOFFERSON,1
BEAN,KRISTOFFERSON'S VOICE,1
FOX,KRISTOFFERSON'S VOICE,1
KRISTOFFERSON,KRISTOFFERSON'S VOICE,1
ASH,PILOT,1
BEAN,PILOT,1
FOX,PILOT,1
KYLIE,PILOT,1
KRISTOFFERSON,RICKITY,1
KRISTOFFERSON,KYLIE,1
KRISTOFFERSON,RAT,1
MRS. FOX,RAT,1
BADOIT,BEAN,1
BADOIT,BOGGIS,1
BADOIT,MOLE,1
BEAN,MOLE,1
BOGGIS,MOLE,1
